,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
Variables,All Items,Food,Food Excl Food Servicing Services,Bread & Cereals,Meat,Fish & Seafood,"Milk, Cheese & Eggs",Oils & Fats,Fruits,Vegetables,"Sugar, Preserves & Confectionery",Non-alcoholic Beverages,Other Food,Food Servicing Services,Restaurant Food,Fast Food,Hawker Food (Incl. Food Courts),Catered Food,Clothing & Footwear,Housing & Utilities,Accommodation,Fuel & Utilities,Household Durables And Services,Household Durables,Household Services & Supplies,Health Care,"Medical Products, Appliances & Equipment",Medical & Dental Treatment,Transport,Private Road Transport,Public Road Transport,Other Travel & Transport,Communication,Recreation & Culture,Recreation & Entertainment,"Newspapers, Books & Stationery",Holiday Expenses,Education,Tuition & Other Fees,School Textbooks & Related Study Guides,Miscellaneous Goods & Services,Personal Care,Alcoholic Drinks & Tobacco,Personal Effects,Other Miscellaneous Expenditure,All Items Less Imputed Rentals On Owner-occupied Accommodation,All Items Less Accommodation,MAS Core Inflation Measure
1961 Jan,24.665,23.995,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.921,23.391,na,na,33.118,na,na,19.863,na,na,20.319,na,na,na,87.887,51.022,na,na,na,17.211,na,na,19.146,na,na,na,na,na,na,na
1961 Feb,24.689,24.011,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.921,23.493,na,na,33.073,na,na,19.863,na,na,20.319,na,na,na,87.887,51.022,na,na,na,17.211,na,na,19.149,na,na,na,na,na,na,na
1961 Mar,24.709,24.058,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.965,23.391,na,na,33.447,na,na,19.863,na,na,20.319,na,na,na,87.887,51.022,na,na,na,17.211,na,na,19.142,na,na,na,na,na,na,na
1961 Apr,24.309,23.345,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.949,23.476,na,na,33.752,na,na,19.863,na,na,20.319,na,na,na,87.887,51.022,na,na,na,17.211,na,na,19.142,na,na,na,na,na,na,na
1961 May,24.174,23.118,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.68,23.545,na,na,33.577,na,na,19.863,na,na,20.319,na,na,na,87.887,51.022,na,na,na,17.211,na,na,19.126,na,na,na,na,na,na,na
1961 Jun,24.345,23.421,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.486,23.545,na,na,33.545,na,na,19.863,na,na,20.319,na,na,na,87.887,51.022,na,na,na,17.211,na,na,19.126,na,na,na,na,na,na,na
1961 Jul,24.398,23.511,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.684,23.545,na,na,33.265,na,na,19.863,na,na,20.319,na,na,na,87.887,51.022,na,na,na,17.211,na,na,19.126,na,na,na,na,na,na,na
1961 Aug,24.64,23.926,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.684,23.545,na,na,33.265,na,na,19.863,na,na,20.319,na,na,na,87.887,51.022,na,na,na,17.211,na,na,19.126,na,na,na,na,na,na,na
1961 Sep,24.516,23.712,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.626,23.545,na,na,33.26,na,na,19.863,na,na,20.319,na,na,na,87.887,51.022,na,na,na,17.211,na,na,19.142,na,na,na,na,na,na,na
1961 Oct,24.586,23.832,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.626,23.545,na,na,33.26,na,na,19.863,na,na,20.319,na,na,na,87.887,51.022,na,na,na,17.211,na,na,19.142,na,na,na,na,na,na,na
1961 Nov,24.645,23.93,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.498,23.582,na,na,33.26,na,na,19.863,na,na,20.319,na,na,na,87.887,51.022,na,na,na,17.211,na,na,19.142,na,na,na,na,na,na,na
1961 Dec,24.61,23.903,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.177,23.516,na,na,33.253,na,na,19.863,na,na,20.303,na,na,na,87.887,51.022,na,na,na,17.211,na,na,19.142,na,na,na,na,na,na,na
1962 Jan,24.766,24.11,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.921,23.582,na,na,33.385,na,na,19.967,na,na,20.303,na,na,na,87.887,51.022,na,na,na,17.275,na,na,19.142,na,na,na,na,na,na,na
1962 Feb,24.904,24.369,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.539,23.567,na,na,33.402,na,na,19.863,na,na,20.303,na,na,na,87.887,51.022,na,na,na,17.275,na,na,19.142,na,na,na,na,na,na,na
1962 Mar,24.548,23.777,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.422,23.516,na,na,33.371,na,na,19.863,na,na,20.303,na,na,na,87.887,51.022,na,na,na,17.275,na,na,19.142,na,na,na,na,na,na,na
1962 Apr,24.425,23.566,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.539,23.516,na,na,33.361,na,na,19.863,na,na,20.303,na,na,na,87.887,51.022,na,na,na,17.275,na,na,19.127,na,na,na,na,na,na,na
1962 May,24.449,23.56,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.539,23.713,na,na,33.345,na,na,19.863,na,na,20.303,na,na,na,87.887,51.022,na,na,na,17.275,na,na,19.127,na,na,na,na,na,na,na
1962 Jun,24.565,23.758,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.539,23.713,na,na,33.345,na,na,19.863,na,na,20.303,na,na,na,87.887,51.022,na,na,na,17.275,na,na,19.127,na,na,na,na,na,na,na
1962 Jul,24.623,23.859,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.466,23.713,na,na,33.371,na,na,19.863,na,na,20.303,na,na,na,87.887,51.022,na,na,na,17.275,na,na,19.127,na,na,na,na,na,na,na
1962 Aug,24.546,23.732,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.447,23.698,na,na,33.409,na,na,19.863,na,na,20.303,na,na,na,87.887,51.022,na,na,na,17.275,na,na,19.127,na,na,na,na,na,na,na
1962 Sep,24.647,23.916,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.181,23.698,na,na,33.396,na,na,19.863,na,na,20.303,na,na,na,87.887,51.022,na,na,na,17.275,na,na,19.127,na,na,na,na,na,na,na
1962 Oct,24.592,23.822,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.181,23.698,na,na,33.396,na,na,19.863,na,na,20.303,na,na,na,87.887,51.022,na,na,na,17.275,na,na,19.127,na,na,na,na,na,na,na
1962 Nov,24.751,24.092,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.181,23.706,na,na,33.409,na,na,19.863,na,na,20.303,na,na,na,87.887,51.022,na,na,na,17.275,na,na,19.127,na,na,na,na,na,na,na
1962 Dec,24.821,24.213,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,54.12,23.706,na,na,33.436,na,na,19.863,na,na,20.303,na,na,na,87.887,51.022,na,na,na,17.275,na,na,19.127,na,na,na,na,na,na,na
